ID_Vuelo,Aerolinea,Origen,Destino,Fecha_Programada,Hora_Salida_UTC,Tipo_Avion,Capacidad_Pasajeros,Pasajeros_Reservados,Distancia_KM,Clase_Tarifa,Costo_Base,Impuestos
IB9437,FlyFast,CDG,SCL,2025-01-24,22:00,A320,180,159,4201,Primera,5354.32,306.96
LA1495,FlyFast,MIA,SCL,2025-05-19,23:00,B787,300,188,4687,Primera,5312.04,318.11
DL466,FlyFast,MAD,CDG,2025-12-02,06:00,B787,300,273,9533,Económica,297.72,67.99
IB7234,AirCorp,JFK,BUE,2025-03-31,00:00,A320,180,176,3127,Negocios,2335.58,137.81
DL8041,AirCorp,CDG,BUE,2025-03-26,05:00,A320,180,152,1546,Económica,383.37,94.71
DL3531,GlobalAir,MIA,SCL,2025-06-17,23:30,A320,180,116,2893,Económica,165.19,88.3
IB5714,FlyFast,JFK,LIM,2025-08-05,05:30,B737,210,177,2440,Negocios,2450.84,100.79
IB7391,FlyFast,LIM,BUE,2025-07-23,08:00,A320,180,141,3754,Primera,3471.2,589.56
DL7829,GlobalAir,FRA,MIA,2025-12-18,00:30,A320,180,120,3171,Primera,6905.47,345.68
AA5660,AirCorp,CDG,LIM,2025-08-19,00:00,B737,210,143,934,Económica,394.85,56.55
DL4645,AeroSky,MAD,MIA,2025-05-18,17:00,B737,210,132,4227,Primera,3839.24,334.82
AA3848,AeroSky,BUE,CDG,2025-07-15,20:00,A380,550,458,7083,Primera,5030.93,749.63
DL8951,FlyFast,MIA,FRA,2025-09-23,10:30,B737,210,171,4131,Negocios,2309.89,204.98
IB904,GlobalAir,MAD,CDG,2025-06-18,10:00,A380,550,442,2760,Primera,6494.11,738.08
AA6013,GlobalAir,CDG,MIA,2025-01-21,15:00,B737,210,179,2238,Primera,6456.91,349.24
LA9494,FlyFast,CDG,LIM,2025-07-16,07:00,A320,180,161,2980,Económica,553.35,63.18
AA9919,FlyFast,BUE,MIA,2025-06-02,09:30,B737,210,155,2703,Primera,6170.4,755.7
AA5783,AirCorp,LIM,MIA,2025-10-29,02:30,B737,210,170,860,Primera,5154.4,711.08
LA953,AirCorp,FRA,MAD,2025-09-08,04:30,B787,300,224,9473,Primera,7330.93,366.69
LA4059,GlobalAir,JFK,BUE,2025-06-01,14:30,A320,180,151,3505,Primera,5297.43,748.64
IB568,AirCorp,FRA,LIM,2025-02-09,22:00,A320,180,162,3697,Económica,414.39,58.76
IB1108,FlyFast,BUE,MIA,2025-01-16,15:00,A320,180,138,1566,Económica,540.16,63.38
DL6086,FlyFast,BUE,CDG,2025-02-11,19:00,B787,300,235,4268,Negocios,870.96,126.47
IB3765,AeroSky,BUE,JFK,2025-04-25,19:30,B737,210,186,1456,Negocios,2411.52,249.56
DL9091,AeroSky,LIM,FRA,2025-07-10,09:00,A380,550,340,4516,Económica,403.63,85.15
DL7438,GlobalAir,CDG,SCL,2025-06-04,19:30,A320,180,144,654,Negocios,1233.97,283.7
IB9108,AeroSky,MAD,LIM,2025-04-07,07:00,A380,550,379,5699,Primera,4188.31,543.76
LA9303,AirCorp,SCL,MAD,2025-12-24,21:00,A380,550,419,7235,Económica,158.49,82.25
LA7803,AeroSky,MIA,FRA,2025-04-01,17:30,A380,550,375,7580,Primera,4297.92,367.2
LA3076,FlyFast,LIM,BUE,2025-01-12,06:30,B737,210,204,3754,Económica,240.18,98.26
LA7962,FlyFast,LIM,BUE,2025-08-26,22:00,A380,550,397,6755,Negocios,2045.23,256.64
LA9350,AirCorp,MAD,BUE,2025-03-09,09:00,A320,180,146,2266,Negocios,1857.85,128.39
LA279,FlyFast,BUE,MAD,2025-09-02,05:30,A380,550,517,3506,Económica,263.58,77.87
AA3812,AeroSky,MIA,SCL,2025-04-13,19:00,A320,180,160,4438,Negocios,1057.82,126.42
IB3856,FlyFast,LIM,SCL,2025-11-09,08:00,A320,180,144,3760,Económica,521.2,65.37
DL5941,GlobalAir,JFK,BUE,2025-09-02,02:00,B737,210,203,1241,Económica,449.7,90.84
IB8368,AeroSky,LIM,MIA,2025-09-07,09:00,A380,550,412,6169,Negocios,1402.34,154.21
DL4387,AirCorp,JFK,MIA,2025-10-07,18:30,B787,300,226,2945,Negocios,2428.03,255.31
AA1728,GlobalAir,JFK,BUE,2025-03-27,13:00,A320,180,155,3669,Negocios,1742.1,130.45
LA3953,AeroSky,MAD,JFK,2025-10-18,09:30,A320,180,145,3719,Económica,528.17,88.56
IB3131,FlyFast,BUE,CDG,2025-11-25,04:30,A380,550,540,8720,Negocios,1901.22,232.28
DL8198,AeroSky,CDG,BUE,2025-01-08,18:00,B737,210,201,2782,Negocios,1380.81,144.6
DL4583,FlyFast,MIA,CDG,2025-08-19,11:30,B787,300,249,7046,Económica,569.56,67.9
DL3768,AirCorp,FRA,SCL,2025-07-13,11:00,A380,550,440,5318,Negocios,1906.87,270.99
DL856,AeroSky,LIM,BUE,2025-10-25,19:30,B787,300,206,8391,Económica,531.55,81.57
IB9835,GlobalAir,CDG,BUE,2025-03-18,10:00,A380,550,440,4996,Negocios,2293.37,108.31
IB4091,AeroSky,CDG,LIM,2025-11-06,15:30,A380,550,467,3379,Económica,294.45,65.9
IB9970,AeroSky,JFK,MIA,2025-06-16,00:30,B737,210,172,711,Negocios,1689.08,289.78
IB6955,GlobalAir,SCL,MIA,2025-08-05,22:30,A320,180,115,909,Primera,3314.98,686.08
AA6242,FlyFast,MIA,FRA,2025-11-30,15:00,B787,300,209,4196,Económica,209.33,52.87
IB5760,AeroSky,SCL,LIM,2025-11-02,08:30,A320,180,138,3221,Económica,529.92,90.02
IB8131,GlobalAir,SCL,BUE,2025-03-09,10:00,B787,300,195,5415,Económica,243.94,54.26
AA3441,FlyFast,BUE,SCL,2025-05-26,00:00,B737,210,198,2797,Económica,270.03,99.66
DL4491,AeroSky,CDG,MAD,2025-06-25,03:30,A320,180,173,1019,Económica,424.48,83.13
AA6961,AeroSky,LIM,SCL,2025-04-11,03:00,A380,550,525,9798,Primera,5623.02,516.46
LA263,AeroSky,JFK,CDG,2025-03-15,08:30,A380,550,357,2742,Primera,3511.23,364.63
LA4283,FlyFast,MIA,SCL,2025-07-13,09:00,A320,180,158,2600,Primera,5165.77,521.37
AA6603,FlyFast,MAD,CDG,2025-11-19,08:30,A320,180,165,3715,Económica,528.39,88.69
AA1949,FlyFast,FRA,LIM,2025-01-12,15:00,B787,300,206,9862,Económica,479.15,77.87
DL5722,AirCorp,BUE,FRA,2025-04-04,19:00,B787,300,298,3210,Económica,521.8,57.85
AA9841,AirCorp,MIA,SCL,2025-02-20,05:30,B787,300,288,8437,Primera,3566.56,641.92
DL7047,GlobalAir,SCL,LIM,2025-09-21,16:00,A380,550,351,6881,Primera,7940.7,754.24
LA9853,GlobalAir,LIM,MAD,2025-01-05,06:00,A320,180,120,940,Económica,409.58,77.03
LA7674,FlyFast,MAD,BUE,2025-01-02,19:30,B737,210,159,1567,Primera,3810.45,492.75
AA4862,GlobalAir,MIA,CDG,2025-07-18,08:30,A320,180,177,2088,Primera,5394.91,503.17
DL4333,AirCorp,JFK,SCL,2025-08-04,13:00,A380,550,468,3871,Negocios,1705.99,121.62
DL4079,GlobalAir,SCL,MAD,2025-12-19,03:00,A380,550,537,2980,Negocios,1228.32,127.6
AA5207,AeroSky,SCL,MAD,2025-09-18,07:30,A380,550,547,5484,Económica,387.81,53.96
DL3432,AeroSky,SCL,JFK,2025-03-14,05:00,A320,180,122,2033,Primera,6516.1,453.21
IB9508,AeroSky,LIM,BUE,2025-01-19,15:00,B787,300,259,2054,Negocios,1787.42,106.27
IB797,FlyFast,BUE,CDG,2025-08-30,22:30,A380,550,527,5455,Negocios,812.93,236.62
DL5083,AeroSky,CDG,MIA,2025-05-16,09:00,A320,180,128,1241,Económica,465.36,62.99
DL4406,AirCorp,MAD,LIM,2025-02-17,23:00,B787,300,273,4671,Negocios,1618.92,103.54
LA5586,AirCorp,CDG,MIA,2025-08-30,13:00,A320,180,153,2219,Económica,578.49,93.98
DL579,AeroSky,JFK,MAD,2025-04-01,01:00,A380,550,394,7277,Primera,5818.34,560.89
DL249,AirCorp,BUE,CDG,2025-08-28,04:00,B737,210,208,3583,Económica,329.31,84.24
DL6458,FlyFast,SCL,MAD,2025-12-08,19:30,A320,180,124,2639,Económica,163.64,75.86
DL6469,AirCorp,LIM,BUE,2025-11-04,05:00,A320,180,130,4146,Negocios,2169.23,145.89
AA4739,FlyFast,FRA,CDG,2025-09-20,13:00,B737,210,135,2692,Negocios,1890.39,117.02
LA8376,FlyFast,MIA,MAD,2025-11-30,18:30,B737,210,137,2497,Negocios,1564.09,119.15
AA992,GlobalAir,FRA,MAD,2025-02-09,07:00,A380,550,371,8843,Económica,409.17,77.71
IB363,GlobalAir,MIA,FRA,2025-04-12,08:30,A380,550,549,6579,Negocios,1533.57,255.77
LA7544,AeroSky,JFK,CDG,2025-05-09,00:30,A320,180,123,3698,Económica,498.13,80.07
AA7455,AirCorp,LIM,MAD,2025-07-16,17:00,B737,210,150,3787,Primera,4660.33,670.71
LA3618,AeroSky,CDG,FRA,2025-07-08,17:00,A320,180,132,2038,Primera,3091.07,707.22
IB2457,AeroSky,SCL,MAD,2025-12-15,02:30,B737,210,155,3111,Económica,182.08,58.52
AA7797,AeroSky,BUE,MIA,2025-04-19,06:30,A380,550,423,4894,Negocios,1296.59,167.42
LA5238,FlyFast,JFK,BUE,2025-11-11,09:30,A320,180,149,783,Negocios,820.4,250.45
LA1099,GlobalAir,BUE,SCL,2025-06-09,23:30,A380,550,407,8268,Negocios,1907.38,195.61
LA2027,AirCorp,CDG,LIM,2025-01-05,23:30,B737,210,169,4081,Negocios,1325.04,180.06
IB1030,GlobalAir,CDG,MIA,2025-11-06,15:30,A380,550,533,9998,Primera,7938.46,505.17
DL9679,AirCorp,JFK,CDG,2025-04-28,07:00,B737,210,206,4192,Económica,420.86,88.21
LA9999,AirCorp,SCL,MIA,2025-04-21,00:00,B737,210,167,2992,Negocios,1980.94,249.7
AA5765,FlyFast,MAD,JFK,2025-09-02,12:30,A380,550,434,4987,Económica,370.77,95.03
IB8157,AeroSky,SCL,LIM,2025-07-23,12:00,B737,210,165,507,Primera,4436.45,414.57
LA2474,AirCorp,CDG,LIM,2025-04-15,07:30,B737,210,181,870,Negocios,1943.68,145.93
IB514,GlobalAir,LIM,MAD,2025-10-22,00:30,A380,550,369,3477,Primera,4210.0,495.48
DL7179,FlyFast,FRA,JFK,2025-11-06,06:30,A320,180,159,1561,Negocios,1100.36,219.85
DL9772,FlyFast,SCL,MAD,2025-09-05,21:30,B737,210,142,3268,Económica,288.35,92.71
DL7629,AirCorp,FRA,LIM,2025-12-11,20:00,A320,180,111,902,Económica,204.42,76.59
LA3533,GlobalAir,MAD,FRA,2025-04-23,13:00,B737,210,129,1388,Primera,6681.74,589.21
DL9733,AirCorp,SCL,CDG,2025-08-27,12:30,B737,210,182,3391,Económica,307.37,79.37
LA2919,AeroSky,BUE,JFK,2025-07-24,19:30,A380,550,434,3199,Negocios,2150.6,236.98
AA8721,AeroSky,CDG,MAD,2025-03-28,00:00,B787,300,298,4202,Primera,7979.5,515.26
IB3843,GlobalAir,MAD,MIA,2025-10-03,01:00,A380,550,427,7024,Económica,235.55,97.79
DL3953,FlyFast,MIA,LIM,2025-05-19,19:30,A380,550,440,8430,Negocios,2179.86,210.2
AA6297,AirCorp,MAD,MIA,2025-05-01,23:00,A380,550,523,3453,Primera,3791.09,734.43
DL7712,AeroSky,FRA,SCL,2025-10-29,05:30,B737,210,205,1638,Económica,164.79,53.27
LA1605,AirCorp,MAD,CDG,2025-12-16,16:00,B787,300,204,9205,Primera,4809.97,552.59
LA2597,AirCorp,FRA,JFK,2025-06-08,02:30,B787,300,249,8444,Negocios,1209.21,292.09
LA7274,AirCorp,BUE,CDG,2025-12-22,07:00,A320,180,139,2953,Primera,7813.57,300.77
DL6081,AirCorp,SCL,MIA,2025-10-19,03:00,B737,210,153,911,Negocios,1463.56,190.89
LA8009,AirCorp,CDG,BUE,2025-12-12,08:00,A380,550,468,8994,Primera,3985.7,370.01
IB7768,GlobalAir,LIM,BUE,2025-03-13,07:30,A320,180,173,3372,Económica,307.85,59.73
AA3453,AirCorp,MIA,JFK,2025-08-25,02:30,A380,550,345,9929,Económica,337.95,94.43
LA4646,AirCorp,MIA,JFK,2025-07-28,22:30,B787,300,246,8076,Económica,466.77,99.52
IB7698,FlyFast,MIA,CDG,2025-11-15,16:30,A380,550,432,9937,Económica,324.6,51.56
DL5353,GlobalAir,LIM,MAD,2025-11-25,10:30,A320,180,140,1631,Negocios,2302.58,256.1
DL496,FlyFast,CDG,BUE,2025-12-06,19:00,A320,180,139,906,Negocios,1309.58,288.79
DL6159,FlyFast,CDG,BUE,2025-08-11,20:30,B737,210,134,2829,Negocios,1550.12,214.57
AA9427,GlobalAir,SCL,LIM,2025-05-23,10:00,B787,300,293,6723,Primera,5523.49,576.41
IB3980,GlobalAir,BUE,LIM,2025-02-21,11:00,A380,550,493,4326,Económica,480.21,85.33
AA1339,AirCorp,BUE,CDG,2025-06-23,02:30,B737,210,126,3991,Económica,488.59,61.72
AA5100,FlyFast,CDG,BUE,2025-05-28,00:30,A320,180,176,3334,Negocios,1166.05,177.09
IB6151,AirCorp,BUE,LIM,2025-06-23,13:00,A320,180,120,3923,Económica,269.26,58.14
DL4901,AeroSky,MIA,SCL,2025-03-06,21:00,B787,300,269,9581,Negocios,870.57,217.94
DL3768,FlyFast,BUE,JFK,2025-03-30,05:00,B737,210,184,2161,Económica,300.4,73.58
AA6577,FlyFast,CDG,BUE,2025-09-11,13:00,A320,180,151,598,Económica,186.44,53.26
AA7933,FlyFast,CDG,BUE,2025-11-12,23:30,B737,210,151,2394,Económica,275.61,83.14
AA7017,GlobalAir,BUE,MAD,2025-05-08,12:30,A380,550,482,4565,Económica,292.19,57.23
AA3698,AirCorp,JFK,LIM,2025-04-17,12:00,A320,180,138,4267,Negocios,1980.4,183.9
DL2770,FlyFast,BUE,MAD,2025-01-31,22:00,B737,210,161,4170,Negocios,1979.29,217.44
DL8104,AeroSky,CDG,MIA,2025-10-10,02:30,B737,210,156,2354,Económica,300.52,84.5
IB626,AirCorp,JFK,FRA,2025-02-19,00:30,B737,210,139,4058,Negocios,835.35,220.06
DL2115,GlobalAir,MAD,LIM,2025-03-08,14:30,B787,300,235,8706,Económica,325.41,69.64
AA9514,GlobalAir,MIA,SCL,2025-03-26,22:00,B787,300,297,9462,Económica,309.04,57.19
DL7596,AirCorp,MIA,MAD,2025-08-11,08:00,B737,210,171,1030,Primera,5925.67,368.64
IB8013,FlyFast,LIM,FRA,2025-08-08,02:00,B787,300,227,7358,Negocios,1310.73,263.32
IB7228,FlyFast,MIA,MAD,2025-02-17,23:30,A320,180,111,948,Primera,7012.46,372.42
LA4893,AeroSky,BUE,MIA,2025-10-29,05:30,A320,180,131,3005,Negocios,1508.1,107.34
IB847,FlyFast,MIA,LIM,2025-03-13,10:00,A380,550,337,6541,Negocios,2354.37,122.26
DL2149,GlobalAir,MAD,BUE,2025-09-08,21:30,B737,210,144,1009,Económica,268.65,58.4
LA5332,AeroSky,MIA,FRA,2025-09-27,07:00,A380,550,472,3840,Económica,317.98,85.62
IB307,AeroSky,SCL,MAD,2025-01-29,13:00,A320,180,156,2004,Primera,6502.34,411.47
LA8510,GlobalAir,SCL,BUE,2025-03-01,15:30,B787,300,231,7309,Negocios,1037.18,272.41
LA1798,GlobalAir,SCL,MAD,2025-09-06,12:30,A380,550,387,5734,Primera,7249.19,372.77
DL6806,GlobalAir,BUE,JFK,2025-12-16,10:30,B787,300,211,2001,Económica,185.18,71.52
DL2867,AirCorp,SCL,BUE,2025-07-15,09:30,B737,210,171,2164,Primera,5953.86,464.27
AA1872,GlobalAir,FRA,LIM,2025-07-21,17:00,B737,210,151,2246,Primera,7482.07,354.4
LA6481,GlobalAir,FRA,MIA,2025-02-02,20:30,B787,300,197,7851,Económica,552.64,98.85
DL7592,AeroSky,JFK,BUE,2025-08-24,19:30,A320,180,134,2524,Económica,272.87,51.99
LA2524,GlobalAir,MIA,CDG,2025-06-21,10:00,A320,180,113,4133,Económica,548.97,60.66
DL8224,AeroSky,MIA,LIM,2025-08-25,01:30,B787,300,247,9210,Primera,3015.5,617.75
LA621,AirCorp,MIA,LIM,2025-05-12,20:00,A380,550,435,7302,Económica,529.07,72.5
AA8380,GlobalAir,FRA,CDG,2025-08-02,13:00,A320,180,112,2248,Primera,5785.53,453.14
AA3645,FlyFast,JFK,BUE,2025-07-03,21:30,B787,300,227,8134,Negocios,1205.54,138.84
AA6023,AeroSky,MAD,JFK,2025-08-09,20:30,B737,210,143,2022,Económica,410.33,98.59
AA1125,GlobalAir,FRA,MAD,2025-05-29,18:30,B737,210,183,2368,Primera,4120.18,629.42
IB9185,AirCorp,MIA,JFK,2025-02-02,07:00,B787,300,190,9134,Económica,508.05,54.71
DL5926,FlyFast,CDG,JFK,2025-09-09,11:00,A380,550,419,3542,Negocios,1343.57,205.49
AA7088,AeroSky,LIM,BUE,2025-07-31,09:30,B787,300,292,3868,Económica,395.21,97.83
AA5652,GlobalAir,CDG,MAD,2025-03-21,13:00,A320,180,114,4223,Negocios,800.98,102.6
LA2229,FlyFast,MIA,SCL,2025-06-01,12:00,B737,210,150,1354,Primera,5952.28,337.61
AA3887,AeroSky,CDG,FRA,2025-01-19,13:30,A320,180,157,2089,Económica,537.27,98.79
DL3892,FlyFast,CDG,FRA,2025-10-23,22:30,B737,210,197,4080,Primera,4345.09,592.12
AA6473,FlyFast,CDG,JFK,2025-02-15,15:30,B737,210,181,1116,Primera,5068.88,628.94
DL4667,FlyFast,FRA,SCL,2025-07-13,04:30,B737,210,199,2285,Primera,4845.61,512.82
DL6525,AirCorp,SCL,CDG,2025-01-27,21:30,A320,180,167,3186,Negocios,1388.44,226.67
AA5722,GlobalAir,LIM,CDG,2025-11-27,11:30,A380,550,342,6997,Económica,576.8,50.99
IB3034,AirCorp,CDG,MAD,2025-05-17,12:00,A320,180,167,3917,Primera,7994.84,752.69
LA3867,AirCorp,JFK,FRA,2025-11-06,11:30,B737,210,174,1087,Negocios,1943.94,260.83
IB921,GlobalAir,MIA,BUE,2025-08-15,00:30,B737,210,195,2741,Negocios,1142.18,133.59
LA950,AeroSky,FRA,CDG,2025-12-08,11:30,A320,180,158,1731,Primera,4855.47,715.96
DL4404,GlobalAir,CDG,FRA,2025-03-29,02:30,A380,550,476,5451,Negocios,1709.25,127.51
AA9410,AirCorp,CDG,FRA,2025-08-12,13:30,B787,300,201,9879,Negocios,1272.63,271.33
DL7705,FlyFast,FRA,LIM,2025-02-15,20:00,B737,210,158,2299,Negocios,1673.95,191.59
DL6109,FlyFast,JFK,MIA,2025-05-16,05:30,A320,180,123,893,Primera,6299.59,681.84
DL9123,AeroSky,MAD,JFK,2025-07-19,07:00,A320,180,169,1657,Primera,7533.63,385.98
AA4611,AeroSky,MIA,MAD,2025-11-22,20:30,A380,550,520,4912,Negocios,2353.15,206.92
IB5009,AeroSky,MIA,CDG,2025-12-01,15:00,A380,550,394,9538,Primera,5341.79,492.4
AA1114,AeroSky,FRA,JFK,2025-09-29,22:30,A320,180,176,2946,Primera,5269.84,460.22
DL8835,AeroSky,SCL,BUE,2025-03-31,02:00,A380,550,376,5398,Negocios,1342.14,249.53
LA7720,FlyFast,LIM,FRA,2025-07-28,19:30,B787,300,286,2350,Primera,5420.7,757.53
LA9229,AeroSky,MAD,SCL,2025-08-01,15:30,A320,180,154,1172,Económica,430.34,96.71
AA8477,AirCorp,BUE,LIM,2025-02-10,15:00,B737,210,175,3026,Primera,3632.29,718.59
LA4980,GlobalAir,MAD,JFK,2025-02-06,20:30,B737,210,160,2758,Económica,215.19,87.52
LA4294,FlyFast,SCL,JFK,2025-12-07,09:00,A380,550,402,5093,Negocios,1754.7,200.51
IB1094,AirCorp,JFK,MIA,2025-05-08,21:30,A380,550,422,3558,Económica,229.23,75.32
LA1655,GlobalAir,LIM,BUE,2025-09-29,12:30,B787,300,205,9434,Negocios,1330.86,106.58
LA4514,FlyFast,JFK,BUE,2025-05-23,05:00,B737,210,156,1724,Económica,407.2,95.23
LA6941,FlyFast,LIM,BUE,2025-02-03,17:00,A320,180,164,2174,Primera,6477.94,420.47
LA831,FlyFast,CDG,FRA,2025-01-23,07:30,B737,210,199,2810,Primera,6073.94,695.41
DL8392,AeroSky,BUE,MIA,2025-07-04,07:00,A320,180,109,894,Económica,343.18,96.84
IB8247,AirCorp,LIM,CDG,2025-08-25,22:30,A320,180,171,3332,Primera,5317.63,434.91
AA6128,FlyFast,LIM,JFK,2025-03-19,08:30,A380,550,436,2456,Negocios,922.64,172.19
LA7314,AeroSky,FRA,CDG,2025-03-27,01:00,B787,300,246,3575,Primera,7903.65,334.32
AA4785,FlyFast,JFK,CDG,2025-09-21,06:30,B787,300,262,4900,Económica,312.01,63.79
DL1223,GlobalAir,MIA,SCL,2025-04-22,21:30,B787,300,274,5333,Económica,304.83,53.11
AA3906,GlobalAir,CDG,MAD,2025-01-31,01:30,A320,180,168,1193,Negocios,2042.95,225.87
AA6114,AeroSky,FRA,MIA,2025-11-05,19:00,A380,550,370,7909,Negocios,2342.16,188.72
IB6928,FlyFast,SCL,FRA,2025-10-05,15:30,A320,180,173,1658,Primera,3664.54,387.57
DL6086,GlobalAir,LIM,CDG,2025-08-10,11:30,A380,550,484,3309,Negocios,1453.83,126.11
LA924,AirCorp,MAD,FRA,2025-09-20,17:00,B787,300,297,8757,Primera,3083.97,548.89
AA7905,AirCorp,CDG,BUE,2025-05-31,10:00,B737,210,165,1415,Primera,4025.26,439.68
IB8755,AeroSky,SCL,CDG,2025-09-29,04:30,A320,180,152,4445,Económica,567.61,86.07
AA9624,AeroSky,LIM,JFK,2025-01-17,16:00,B737,210,157,1604,Económica,209.02,54.8
LA5123,AeroSky,SCL,CDG,2025-05-04,23:00,A380,550,379,9528,Negocios,1609.17,200.66
AA2547,FlyFast,CDG,MIA,2025-02-01,06:00,A380,550,506,7007,Económica,495.84,70.48
DL781,GlobalAir,MIA,LIM,2025-11-27,20:30,A380,550,487,3787,Económica,169.94,90.96
DL4037,AeroSky,MIA,LIM,2025-04-08,18:00,A320,180,162,3164,Primera,7366.66,352.8
LA4986,AeroSky,LIM,CDG,2025-02-07,06:00,A320,180,156,2871,Económica,556.62,97.43
AA3587,GlobalAir,MAD,SCL,2025-06-15,10:30,A380,550,459,6677,Económica,387.24,63.09
IB9623,AirCorp,LIM,MIA,2025-07-14,06:30,B737,210,177,1453,Primera,6363.52,568.22
IB6788,GlobalAir,JFK,MAD,2025-08-10,00:00,A380,550,353,7936,Económica,180.36,86.96
IB1195,FlyFast,MAD,LIM,2025-02-19,09:30,B737,210,145,3586,Primera,6212.84,488.96
IB3492,GlobalAir,FRA,MAD,2025-01-07,12:00,A380,550,492,6300,Primera,4347.46,607.64
DL2990,AirCorp,MIA,JFK,2025-07-07,14:00,A320,180,134,3582,Económica,250.21,83.94
LA3648,GlobalAir,MAD,MIA,2025-08-08,09:30,B737,210,208,2587,Económica,245.63,51.49
IB6996,AeroSky,MAD,BUE,2025-01-22,18:00,B787,300,206,2191,Negocios,1515.23,215.82
AA3206,AeroSky,FRA,MIA,2025-12-03,12:30,B787,300,245,9076,Económica,584.96,76.76
IB2776,AeroSky,CDG,LIM,2025-05-22,08:30,B737,210,184,2971,Económica,228.58,72.04
IB4804,AirCorp,MIA,LIM,2025-11-20,03:00,A380,550,475,8875,Económica,434.16,97.08
DL256,AeroSky,LIM,BUE,2025-09-29,01:30,A320,180,137,531,Económica,190.15,68.03
AA8581,FlyFast,JFK,SCL,2025-04-11,15:00,A320,180,172,4012,Negocios,2270.65,139.52
DL4397,AeroSky,FRA,BUE,2025-02-20,12:00,B787,300,244,8592,Negocios,1650.58,230.96
IB631,GlobalAir,MIA,SCL,2025-10-11,13:00,A380,550,503,8502,Negocios,2238.86,284.98
